# Restfreq(MHz)  line   
#  draw upper   1133209.3/(1+redshift)  CN10_10-9_9.5  
#  draw upper   1243840.5/(1+redshift)  CN11_10-10_10. 
#  draw upper   1246124.2/(1+redshift)  CN11_10-10_9.5 
#  draw upper   1246341.7/(1+redshift)  CN11_11-10_10. 
#  draw upper   1356704.7/(1+redshift)  CN12_11-11_11. 
#  draw upper   1359205.9/(1+redshift)  CN12_11-11_10. 
#  draw upper   1359423.4/(1+redshift)  CN12_12-11_11. 
#  draw upper   1469513.5/(1+redshift)  CN13_12-12_12. 
#  draw upper   1472232.2/(1+redshift)  CN13_12-12_11. 
#  draw upper   1472449.7/(1+redshift)  CN13_13-12_12. 
#  
#  
#  
#  
#  draw upper  93172.0/(1+redshift)        N2H+2-1
#  draw upper 186344.8/(1+redshift)        N2H+2-1
#  draw upper 279511.7/(1+redshift)        N2H+3-2
#  draw upper 372672.5/(1+redshift)        N2H+4-3
#  draw upper 465825.0/(1+redshift)        N2H+5-4
#  draw upper 558966.7/(1+redshift)        N2H+6-5
#  
#  
#  
#  draw upper 262004.2/(1+redshift)        C2H3-2
#  draw upper 349338.7/(1+redshift)        C2H4-3
#  draw upper 436660.4/(1+redshift)        C2H5-4
#  draw upper 523970.4/(1+redshift)        C2H6-5
#  
#  
#  
#  draw upper  97981.0/(1+redshift)         CS2-1  
#  draw upper 146969.0/(1+redshift)         CS3-2  
#  draw upper 195954.2/(1+redshift)         CS4-3  
#  draw upper 244935.6/(1+redshift)         CS5-4  
#  draw upper 293912.1/(1+redshift)         CS6-5  
#  draw upper 342882.9/(1+redshift)         CS7-6  
#  draw upper 391846.9/(1+redshift)         CS8-7  
#  draw upper 440803.2/(1+redshift)         CS9-8  
#  draw upper 489750.9/(1+redshift)         CS10-9 
#  
#  
#  draw upper  90663.6/(1+redshift)  HNC1-0    
#  draw upper 181324.8/(1+redshift)  HNC2-1    
#  draw upper 271981.1/(1+redshift)  HNC3-2    
#  draw upper 362630.3/(1+redshift)  HNC4-3    
#  draw upper 453269.9/(1+redshift)  HNC5-4    
#  draw upper 543897.6/(1+redshift)  HNC6-5    
#  draw upper 634510.8/(1+redshift)  HNC7-6    
#  draw upper 725107.3/(1+redshift)  HNC8-7    
#  draw upper 815684.7/(1+redshift)  HNC9-8    
#  
#  
#  draw upper   89188.5/(1+redshift)     HCO+1-0   
#  draw upper  178375.1/(1+redshift)     HCO+2-1   
#  draw upper  267557.6/(1+redshift)     HCO+3-2   
#  draw upper  356734.3/(1+redshift)     HCO+4-3   
#  draw upper  445903.0/(1+redshift)     HCO+5-4   
#  draw upper  535061.8/(1+redshift)     HCO+6-5   
#  draw upper  624208.7/(1+redshift)     HCO+7-6   
#  draw upper  713342.1/(1+redshift)     HCO+8-7   
#  draw upper  802458.3/(1+redshift)     HCO+9-8   
#  
#  
#  
#  draw upper  88631.8/(1+redshift)  HCN1--0   
#  draw upper 177261.1/(1+redshift)  HCN2--1   
#  draw upper 265886.4/(1+redshift)  HCN3--2   
#  draw upper 354505.5/(1+redshift)  HCN4--3   
#  draw upper 443116.1/(1+redshift)  HCN5--4   
#  draw upper 531716.3/(1+redshift)  HCN6--5   
#  draw upper 620304.0/(1+redshift)  HCN7--6   
#  draw upper 708877.0/(1+redshift)  HCN8--7   
#  draw upper 797433.3/(1+redshift)  HCN9--8   
#  
#  draw upper 801571.888/(1+redshift)  H2CO11(4,7)-10(4,6)
#  
#  
#  
#  
#  
#  draw upper 316341.7/(1+redshift)    SO1_1-1_0   
#  draw upper 286340.2/(1+redshift)    SO1_1-0_1   
#  draw upper 329385.5/(1+redshift)    SO2_1-1_0   
#  draw upper 299384.0/(1+redshift)    SO2_1-0_1   
#  draw upper 236452.3/(1+redshift)    SO2_1-1_2   
#  draw upper 138178.6/(1+redshift)    SO3_4-2_3   
#  draw upper 372434.1/(1+redshift)    SO2_2-0_1   
#  draw upper 309502.4/(1+redshift)    SO2_2-1_2   
#  draw upper 210202.6/(1+redshift)    SO2_2-2_3   
#  draw upper  86094.0/(1+redshift)    SO2_2-1_1   
#  draw upper 408636.1/(1+redshift)    SO3_2-0_1   
#  draw upper 345704.5/(1+redshift)    SO3_2-1_2   
#  draw upper 246404.6/(1+redshift)    SO3_2-2_3   
#  draw upper 109252.2/(1+redshift)    SO3_2-2_1   
#  draw upper 178605.4/(1+redshift)    SO4_5-3_4   
#  draw upper 438641.3/(1+redshift)    SO3_3-1_2   
#  draw upper 339341.5/(1+redshift)    SO3_3-2_3   
#  draw upper 201162.8/(1+redshift)    SO3_3-3_4   
#  draw upper 129138.9/(1+redshift)    SO3_3-2_2   
#  draw upper 504676.3/(1+redshift)    SO4_3-1_2   
#  draw upper 405376.4/(1+redshift)    SO4_3-2_3   
#  draw upper 267197.7/(1+redshift)    SO4_3-3_4   
#  draw upper 158971.8/(1+redshift)    SO4_3-3_2   
#  draw upper  66034.9/(1+redshift)    SO4_3-3_3   
#  draw upper 511522.9/(1+redshift)    SO4_4-2_3   
#  draw upper 373344.2/(1+redshift)    SO4_4-3_4   
#  draw upper 194738.8/(1+redshift)    SO4_4-4_5   
#  draw upper 172181.4/(1+redshift)    SO4_4-3_3   
#  draw upper 219949.4/(1+redshift)    SO5_6-4_5   
#  draw upper 611552.4/(1+redshift)    SO5_4-2_3   
#  draw upper 473373.8/(1+redshift)    SO5_4-3_4   
#  draw upper 294768.4/(1+redshift)    SO5_4-4_5   
#  draw upper 206176.0/(1+redshift)    SO5_4-4_3   
#  draw upper 100029.6/(1+redshift)    SO5_4-4_4   
#  draw upper 588564.9/(1+redshift)    SO5_5-3_4   
#  draw upper 409959.5/(1+redshift)    SO5_5-4_5   
#  draw upper 215220.7/(1+redshift)    SO5_5-4_4   
#  draw upper 190010.1/(1+redshift)    SO5_5-5_6   
#  draw upper 261843.7/(1+redshift)    SO6_7-5_6   
#  draw upper 725199.5/(1+redshift)    SO6_5-3_4   
#  draw upper 546594.2/(1+redshift)    SO6_5-4_5   
#  draw upper 326644.8/(1+redshift)    SO6_5-5_6   
#  draw upper 251825.8/(1+redshift)    SO6_5-5_4   
#  draw upper 136634.8/(1+redshift)    SO6_5-5_5   
#  draw upper 668215.3/(1+redshift)    SO6_6-4_5   
#  draw upper 448265.9/(1+redshift)    SO6_6-5_6   
#  draw upper 258255.8/(1+redshift)    SO6_6-5_5   
#  draw upper 186422.2/(1+redshift)    SO6_6-6_7   
#  draw upper 121621.2/(1+redshift)    SO6_6-6_5   
#  draw upper 304077.8/(1+redshift)    SO7_8-6_7   
#  draw upper 843144.2/(1+redshift)    SO7_6-4_5   
#  draw upper 623194.8/(1+redshift)    SO7_6-5_6   
#  draw upper 361351.1/(1+redshift)    SO7_6-6_7   
#  draw upper 296550.1/(1+redshift)    SO7_6-6_5   
#  draw upper 174928.9/(1+redshift)    SO7_6-6_6   
#  draw upper 749552.0/(1+redshift)    SO7_7-5_6   
#  draw upper 487708.3/(1+redshift)    SO7_7-6_7   
#  draw upper 301286.1/(1+redshift)    SO7_7-6_6   
#  draw upper 183630.5/(1+redshift)    SO7_7-7_8   
#  draw upper 126357.2/(1+redshift)    SO7_7-7_6   
#  draw upper 346528.5/(1+redshift)    SO8_9-7_8   
#  draw upper 963909.1/(1+redshift)    SO8_7-5_6   
#  draw upper 702065.4/(1+redshift)    SO8_7-6_7   
#  draw upper 515643.2/(1+redshift)    SO8_7-6_6   
#  draw upper 397987.5/(1+redshift)    SO8_7-7_8   
#  draw upper 340714.2/(1+redshift)    SO8_7-7_6   
#  draw upper 214357.0/(1+redshift)    SO8_7-7_7   
#  draw upper 832019.1/(1+redshift)    SO8_8-6_7   
#  draw upper 527941.2/(1+redshift)    SO8_8-7_8   
#  draw upper 344310.6/(1+redshift)    SO8_8-7_7   
#  draw upper 181412.7/(1+redshift)    SO8_8-8_9   
#  draw upper 129953.7/(1+redshift)    SO8_8-8_7   
#  draw upper 389120.9/(1+redshift)    SO9_10-8_9  
#  draw upper 782514.8/(1+redshift)    SO9_8-7_8   
#  draw upper 598884.3/(1+redshift)    SO9_8-7_7   
#  draw upper 435986.3/(1+redshift)    SO9_8-8_9   
#  draw upper 384527.3/(1+redshift)    SO9_8-8_7   
#  draw upper 254573.6/(1+redshift)    SO9_8-8_8   
#  draw upper 915270.0/(1+redshift)    SO9_9-7_8   
#  draw upper 568741.5/(1+redshift)    SO9_9-8_9   
#  draw upper 387328.8/(1+redshift)    SO9_9-8_8   
#  draw upper 179620.5/(1+redshift)    SO9_9-9_10  
#  draw upper 132755.2/(1+redshift)    SO9_9-9_8   
#  
#  
#  
#  
#  
#  draw upper     480.269/(1+redshift)  CH_3_OH 
#  draw upper     482.959/(1+redshift)  CH_3_OH 
#  draw upper     483.141/(1+redshift)  CH_3_OH 
#  draw upper     486.941/(1+redshift)  CH_3_OH 
#  draw upper     487.532/(1+redshift)  CH_3_OH 
#  draw upper     489.037/(1+redshift)  CH_3_OH 
#  draw upper     489.751/(1+redshift)  CS      
#  draw upper     492.161/(1+redshift)  C       
#  draw upper     492.279/(1+redshift)  CH_3_OH 
#  draw upper     493.734/(1+redshift)  CH_3_OH 
#  draw upper     504.294/(1+redshift)  CH_3_OH 
#  draw upper     505.834/(1+redshift)  H_2_CO  
#  draw upper     509.146/(1+redshift)  H_2_CO  
#  draw upper     510.156/(1+redshift)  H_2_CO  
#  draw upper     510.238/(1+redshift)  H_2_CO  
#  draw upper     513.076/(1+redshift)  H_2_CO  
#  draw upper     520.179/(1+redshift)  CH_3_OH 
#  draw upper     525.666/(1+redshift)  H_2_CO  
#  draw upper     531.716/(1+redshift)  HCN     
#  draw upper     535.062/(1+redshift)  HCO^+^  
#  draw upper     538.571/(1+redshift)  CH_3_OH 
#  draw upper     538.689/(1+redshift)  CS      
#  draw upper     542.001/(1+redshift)  CH_3_OH 
#  draw upper     542.082/(1+redshift)  CH_3_OH 
#  draw upper     543.898/(1+redshift)  HNC     
#  draw upper     548.831/(1+redshift)  C^18^O  
#  draw upper     550.926/(1+redshift)  ^13^CO  
#  draw upper     556.936/(1+redshift)  H_2_O   
#  draw upper     558.967/(1+redshift)  N_2_H^+^
#  draw upper     561.899/(1+redshift)  H_2_CO  
#  draw upper     572.498/(1+redshift)  o-NH_3_ 
#  draw upper     576.268/(1+redshift)  CO      
