#freq(GHz),flux(Jy)
93.72427382410001,3.728272318313474e-05
93.70719468363677,-2.374497441516232e-07
93.69011554317352,1.9752916302423385e-05
93.67303640271028,1.6093295734419382e-05
93.65595726224704,1.8666744054922334e-05
93.63887812178382,3.164054566689345e-05
93.62179898132057,1.6754492318215996e-05
93.60471984085733,3.192231728650984e-05
93.58764070039409,6.604064620818618e-05
93.57056155993085,1.6508308685088556e-05
93.5534824194676,-2.2606024277162234e-05
93.53640327900436,-8.605382600644395e-06
93.51932413854112,-1.8262359338375423e-05
93.50224499807788,-1.1979296684591176e-05
93.48516585761465,-9.652864627902353e-06
93.46808671715141,1.988360797783374e-05
93.45100757668817,1.3343550460941722e-05
93.43392843622493,-2.5044066266000848e-05
93.4168492957617,-1.2356554965095388e-05
93.39977015529844,1.239913778616077e-05
93.3826910148352,9.709502271415729e-06
93.36561187437196,2.4481434275265527e-05
93.34853273390873,5.814889869189004e-06
93.33145359344547,-2.7803679037817394e-05
93.31437445298224,-1.6126973629758872e-05
93.29729531251901,2.8357020363154403e-05
93.28021617205577,-6.292421408490122e-06
93.26313703159254,-1.7866153099534123e-05
93.24605789112928,-3.99069483053024e-05
93.22897875066604,2.592008485829006e-05
93.2118996102028,9.595412231586942e-06
93.19482046973957,-1.6857680251934227e-05
93.17774132927632,-5.466397426750564e-05
93.16066218881308,-3.3555392184070334e-05
93.14358304834985,2.593202459233795e-05
93.12650390788662,-2.3857952098991964e-05
93.10942476742338,-9.780259367052176e-06
93.09234562696012,-5.074771427155573e-05
93.07526648649689,-1.6208325373031345e-05
93.05818734603365,-3.061248950412464e-05
93.04110820557041,-2.684329096768757e-05
93.02402906510716,6.74921198348861e-07
93.00694992464392,1.1516800147075316e-05
92.98987078418068,1.534166684449814e-05
92.97279164371746,2.7396141960246648e-05
92.9557125032542,4.999118263357726e-05
92.93863336279097,-6.460662502485063e-05
92.92155422232773,-1.3374008925138844e-05
92.90447508186449,1.0692023312356903e-05
92.88739594140125,5.310362630551922e-06
92.870316800938,2.6271845179816246e-05
92.85323766047476,1.1043568145530677e-05
92.83615852001152,-3.4306087403335424e-05
92.81907937954828,1.812331270660098e-05
92.80200023908505,1.4157212347348506e-05
92.78492109862181,-2.7060021272060876e-05
92.76784195815857,-2.1540333895541292e-05
92.75076281769533,-8.411376611778768e-06
92.73368367723208,-4.5816169654740055e-05
92.71660453676884,2.2389192016484376e-05
92.6995253963056,-2.578889649185827e-05
92.68244625584236,-2.1199020841307004e-05
92.66536711537913,-2.7421738958217495e-06
92.64828797491589,-3.1793939413309605e-05
92.63120883445265,-2.6989390462360716e-06
92.61412969398941,-4.186546982147107e-05
92.59705055352617,3.842758611357302e-05
92.57997141306292,-1.593155301586831e-05
92.56289227259968,2.6617115305591816e-05
92.54581313213644,2.9728218510198797e-05
92.5287339916732,1.6073126264002868e-05
92.51165485120995,2.2505892564086005e-05
92.49457571074672,1.3539150648459289e-05
92.47749657028349,-1.0969807018275871e-05
92.46041742982025,-4.277260584444339e-06
92.44333828935702,2.105229539626226e-05
92.42625914889376,3.582279357880198e-05
92.40918000843052,-3.334362916392574e-05
92.39210086796729,-1.9513377033750664e-05
92.37502172750405,-2.9855847756329378e-05
92.3579425870408,-2.2533521450970727e-05
92.34086344657756,2.6060005262326766e-05
92.32378430611432,3.854987922254919e-05
92.3067051656511,4.54551380230568e-06
92.28962602518786,6.854008124740589e-06
92.2725468847246,1.547569942155273e-05
92.25546774426137,-2.1750402705603873e-05
92.23838860379813,5.91007745326328e-05
92.22130946333489,-3.2533229589403494e-05
92.20423032287164,-3.4852042244997286e-05
92.1871511824084,-1.7253954523980956e-05
92.17007204194516,2.5119386467287454e-05
92.15299290148194,-1.3898296556026251e-05
92.1359137610187,-9.379896426524488e-06
92.11883462055545,-2.4132583411160852e-06
92.10175548009221,1.0320891573476696e-05
92.08467633962897,1.6904787561670884e-05
92.06759719916573,2.4693000713481756e-05
92.05051805870248,1.2226903442219049e-05
92.03343891823924,-3.467920110021733e-05
92.016359777776,-1.674861690850942e-05
91.99928063731276,4.292597168004066e-06
91.98220149684953,-2.87086767086987e-05
91.96512235638629,-8.205226387183593e-06
91.94804321592305,-5.360553697735142e-06
91.93096407545981,1.082779558431041e-05
91.91388493499657,2.357233553732844e-05
91.89680579453332,-4.287458799338451e-05
91.87972665407008,0.0
