#freq(GHz),flux(Jy)
688.4697925001,0.0
688.4854175001,0.0
688.5010425001,0.0
688.5166675001,0.06499158551722939
688.5322925001,0.06465733295252005
688.5479175001,0.051763610016613754
688.5635425001,0.030187484104359265
688.5791675001,0.04615514228744911
688.5947925001,0.07733242967877557
688.6104175001,0.06292438319073655
688.6260425001,0.06543477905045972
688.6416675001,0.07305421594075985
688.6572925001,0.07012221441843437
688.6729175001,0.06469863611982221
688.6885425001,0.060627985103523505
688.7041675001,0.06666472529000741
688.7197925001,0.07459086276374524
688.7354175001,0.08314738593874854
688.7510425001,0.0897650180687218
688.7666675001,0.09260713243081527
688.7822925001,0.08278085735898157
688.7979175001,0.09133286054892027
688.8135425001,0.06817017847792405
688.8291675001,0.042094960229739097
688.8447925001,0.04651282662139687
688.8604175001,0.04459472044003446
688.8760425001,0.0372292524858605
688.8916675001,0.04838455017302563
688.9072925001,0.049045892536547855
688.9229175001,0.04149416458963652
688.9385425001,0.02745327071231214
688.9541675001,0.035268110263795165
688.9697925001,0.06441552757291728
688.9854175001,0.06285490215238573
689.0010425001,0.056559389818688764
689.0166675001,0.06937979281297205
689.0322925001,0.06758192741192733
689.0479175001,0.059057919669893606
689.0635425001,0.052066493944538376
689.0791675001,0.06663439352116136
689.0947925001,0.08464636955845586
689.1104175001,0.09529758072546282
689.1260425001,0.11018281967658279
689.1416675001,0.09260185374946771
689.1572925001,0.07196420138684942
689.1729175001,0.07642749698239895
689.1885425001,0.06366682633971854
689.2041675001,0.043155550142795644
689.2197925001,0.059675458972250815
689.2354175001,0.09854567601342053
689.2510425001,0.12232801469562588
689.2666675001,0.11888550032340163
689.2822925001,0.09377197707754943
689.2979175001,0.07545445804910428
689.3135425001,0.10423005385112126
689.3291675001,0.10694460709852797
689.3447925001,0.062344137466783724
689.3604175001,0.02108963560625148
689.3760425001,0.027356755394611014
689.3916675001,0.05392371037239312
689.4072925001,0.06907761110775558
689.4229175001,0.05635801763287176
689.4385425001,0.05556508243866396
689.4541675001,0.07332439100640027
689.4697925001,0.05613109819381282
689.4854175001,0.06721759463354303
689.5010425001,0.09556123569034473
689.5166675001,0.07960057906870663
689.5322925001,0.06571187393301947
689.5479175001,0.06723575650270192
689.5635425001,0.05475757239030089
689.5791675001,0.06072937851239417
689.5947925001,0.0815222096940335
689.6104175001,0.0803011586583547
689.6260425001,0.07788625080386208
689.6416675001,0.06547005758167279
689.6572925001,0.04021418881311541
689.6729175001,0.058175138976807324
689.6885425001,0.07806908880621492
689.7041675001,0.06575354615839375
689.7197925001,0.06401426353287831
689.7354175001,0.06551638017920428
689.7510425001,0.056041885179408425
689.7666675001,0.06462961215378678
689.7822925001,0.06242828376508865
689.7979175001,0.054863375217105124
689.8135425001,0.07230365102658531
689.8291675001,0.0681486055998675
689.8447925001,0.06460423304663701
689.8604175001,0.09442770145098626
689.8760425001,0.10722932792881791
689.8916675001,0.07952314367563872
689.9072925001,0.062080395932541485
689.9229175001,0.04466333657702917
689.9385425001,0.05994146583791139
689.9541675001,0.07905328377879255
689.9697925001,0.07735198224449973
689.9854175001,0.06932393711999689
690.0010425001,0.06414318106040036
690.0166675001,0.08163295588432806
690.0322925001,0.0880685308721626
690.0479175001,0.08378275133367438
690.0635425001,0.08823676269571985
690.0791675001,0.07207941630551727
690.0947925001,0.0593201296218182
690.1104175001,0.07044753846738026
690.1260425001,0.06040100501781343
690.1416675001,0.06375051326717338
690.1572925001,0.06625184760239886
690.1729175001,0.06030152272255754
690.1885425001,0.07901525007636984
690.2041675001,0.09435763189669451
690.2197925001,0.08386665887164597
690.2354175001,0.06473047927856716
690.2510425001,0.02223941092664269
690.2666675001,0.03149030670918995
690.2822925001,0.05504996811089447
690.2979175001,0.025748331353581337
690.3135425001,0.015213710221236796
690.3291675001,0.022832136046162105
690.3447925001,-0.06768734161349843
690.3604175001,0.0
690.3760425001,0.0
690.3916675001,0.0
690.4072925001,0.0
690.4229175001,0.0
690.4385425001,0.0
690.4541675001,0.0
