#freq(GHz),flux(Jy)
103.879417456,0.0
103.89504219306731,0.0
103.91066693013461,0.0
103.92629166720194,0.0
103.94191640426924,0.0
103.95754114133655,0.0
103.97316587840385,0.0
103.98879061547117,0.0
104.00441535253849,0.0
104.02004008960579,0.0
104.0356648266731,3.0596347181507315e-05
104.05128956374041,1.7814337194185387e-05
104.06691430080772,1.4102362118650226e-05
104.08253903787504,3.15835403852719e-05
104.09816377494234,3.789944465014302e-05
104.11378851200965,2.2349587349112857e-05
104.12941324907696,1.7574953888417048e-05
104.14503798614427,2.556403962608686e-05
104.16066272321157,5.6113765598644034e-05
104.17628746027889,5.640881844515499e-05
104.19191219734621,2.6729315921381362e-05
104.20753693441351,9.454187179308712e-06
104.22316167148082,4.408415555730187e-05
104.23878640854812,6.598962110578499e-05
104.25441114561544,3.545596347618939e-05
104.27003588268275,1.3961029200700411e-05
104.28566061975006,3.387872999193245e-05
104.30128535681737,4.351599646300649e-05
104.31691009388467,3.063712841353619e-05
104.332534830952,3.155081160062188e-05
104.3481595680193,4.000605489040416e-05
104.36378430508661,3.436334990773988e-05
104.37940904215391,5.189062147944959e-05
104.39503377922124,4.072582642497322e-05
104.41065851628855,1.545230218710962e-05
104.42628325335585,3.8557228051019525e-07
104.44190799042316,2.6836484556959995e-05
104.45753272749046,6.58430383185482e-05
104.47315746455779,7.416140133218563e-05
104.48878220162509,8.115399344751249e-05
104.5044069386924,4.938493869219411e-05
104.52003167575971,4.1554784730733094e-05
104.53565641282702,5.103717874116929e-05
104.55128114989434,5.6600698660482895e-05
104.56690588696164,7.213023634968286e-05
104.58253062402895,8.018035486746134e-05
104.59815536109625,6.594214185829846e-05
104.61378009816357,6.0534255784153874e-05
104.62940483523089,5.3949518138503295e-05
104.64502957229818,6.771871858596592e-05
104.6606543093655,8.208032184131642e-05
104.67627904643281,6.57817215906606e-05
104.69190378350012,4.598961418053246e-05
104.70752852056742,4.1246788738731227e-05
104.72315325763473,3.384553019855788e-05
104.73877799470206,3.193020441728826e-05
104.75440273176936,4.935308675331486e-05
104.77002746883667,5.446373693351792e-05
104.78565220590397,5.732372845598168e-05
104.80127694297128,4.7308661936122677e-05
104.81690168003861,3.3049928591540746e-05
104.83252641710591,3.062648004490421e-05
104.84815115417322,2.1899874922257492e-05
104.86377589124052,1.140729596417414e-05
104.87940062830785,1.5261171214789798e-05
104.89502536537515,3.880255990221604e-05
104.91065010244246,3.442572735207735e-05
104.92627483950976,2.5002442692111846e-05
104.94189957657709,5.340059888045348e-05
104.9575243136444,6.61094417670646e-05
104.9731490507117,6.411834879191577e-05
104.98877378777901,4.304678402245099e-05
105.00439852484631,2.2198071925848795e-05
105.02002326191364,2.0174502477240396e-05
105.03564799898095,2.041519082415513e-05
105.05127273604825,4.693273820647309e-05
105.06689747311556,4.671402438768243e-05
105.08252221018287,3.5467486480521114e-05
105.09814694725019,6.589551536437125e-05
105.11377168431748,9.391168294566011e-05
105.1293964213848,9.088897014599757e-05
105.1450211584521,7.194312827597662e-05
105.16064589551942,4.78143894407523e-05
105.17627063258674,3.7522951661831307e-05
105.19189536965403,4.9360474825105445e-05
105.20752010672135,4.513118586040979e-05
105.22314484378866,1.7187490902689128e-05
105.23876958085597,1.7781943592912002e-05
105.25439431792329,4.1343952319601385e-05
105.27001905499058,3.308246313883544e-05
105.28564379205791,2.7045556606112356e-05
105.30126852912521,5.1550472506696394e-05
105.31689326619252,6.486210513632397e-05
105.33251800325982,2.4425522768084935e-05
105.34814274032713,-8.147559963557212e-06
105.36376747739446,1.696589469835065e-05
105.37939221446176,3.987872788846491e-05
105.39501695152907,4.1189282398329996e-05
105.41064168859637,5.2379856122123505e-05
105.4262664256637,7.708781635342197e-05
105.441891162731,6.14289191218118e-05
105.45751589979831,3.12374234912708e-05
105.47314063686562,4.295691246360944e-05
105.48876537393292,8.663719438537817e-05
105.50439011100025,8.789196489071635e-05
105.52001484806755,5.469180282280924e-05
105.53563958513486,2.7897729032738262e-05
105.55126432220216,2.5095117472457447e-05
105.56688905926949,3.0949559276122265e-05
105.5825137963368,2.8337342443643337e-05
105.5981385334041,5.4409640810139713e-05
105.61376327047141,9.01560530678101e-05
105.62938800753872,8.144672938227412e-05
105.64501274460603,5.133052558086397e-05
105.66063748167333,5.7449470499319055e-05
105.67626221874065,9.168257864332356e-05
105.69188695580796,8.887668731806845e-05
105.70751169287527,5.425735871877214e-05
105.72313642994258,6.0728352178096234e-05
105.73876116700988,3.9024507813864605e-05
105.7543859040772,0.0
105.77001064114451,0.0
105.78563537821182,0.0
105.80126011527913,0.0
105.81688485234643,0.0
105.83250958941376,0.0
105.84813432648106,0.0
105.86375906354837,0.0
105.87938380061567,0.0
105.89500853768298,0.0
105.91063327475031,0.0
105.92625801181761,5.471282964196821e-05
105.94188274888492,7.450085083463611e-05
105.95750748595222,0.0001096346113120223
105.97313222301955,9.463048943230087e-05
105.98875696008685,4.827866342914578e-05
106.00438169715416,8.427117137066019e-06
106.02000643422147,1.5859731788036155e-05
106.03563117128878,3.18016141971695e-05
106.0512559083561,1.351801769449319e-05
106.0668806454234,3.748945679291547e-05
106.08250538249071,8.535089061290732e-05
106.09813011955801,4.093197675204247e-05
106.11375485662533,5.840147128707731e-06
106.12937959369265,3.1346239224840716e-05
106.14500433075995,3.177303722374558e-05
106.16062906782726,2.4485311494696505e-05
106.17625380489457,1.682997828651951e-05
106.19187854196188,3.184567197192493e-05
106.2075032790292,3.2395845768300444e-05
106.2231280160965,3.7647557035037285e-05
106.23875275316381,5.10329703906054e-05
106.25437749023112,2.343712167985825e-05
106.27000222729843,2.5599851048930216e-06
106.28562696436573,5.583206250481171e-06
106.30125170143305,3.972387675091589e-05
106.31687643850037,7.184880043483296e-05
106.33250117556767,3.8753196019679106e-05
106.34812591263498,1.0947156492573593e-05
106.36375064970228,1.5438838740808045e-06
106.3793753867696,1.008901351818987e-05
106.39500012383691,3.117475741951304e-05
106.41062486090422,5.699266987472515e-05
106.42624959797153,4.603352598818987e-05
106.44187433503883,4.165076113096542e-05
106.45749907210616,3.8383763966245606e-05
106.47312380917346,2.9076315198932605e-05
106.48874854624077,7.621594650473231e-05
106.50437328330807,0.00011429774381455686
106.5199980203754,5.895674786800997e-05
106.53562275744271,1.0222582498540943e-05
106.55124749451001,3.401327636096771e-05
106.56687223157732,6.814366107805985e-05
106.58249696864462,7.640347864461305e-05
106.59812170571195,4.1102427163244826e-05
106.61374644277925,2.403563155274933e-05
106.62937117984656,3.2720209757839114e-05
106.64499591691387,5.290381399053269e-05
106.66062065398118,5.0640642527068914e-05
106.6762453910485,3.729560634002203e-05
106.6918701281158,3.429811030389842e-05
106.70749486518311,3.600134478371509e-05
106.72311960225042,5.695441722338324e-05
106.73874433931773,8.051446142934547e-05
106.75436907638505,8.62390516856705e-05
106.76999381345234,7.117588300924645e-05
106.78561855051966,4.469040248188701e-05
106.80124328758697,5.5644666145870376e-05
106.81686802465428,9.77947573160942e-05
106.83249276172158,0.00013315008283129045
106.8481174987889,0.00012980604755843706
106.86374223585622,9.546116358994239e-05
106.87936697292352,8.657165437429266e-05
106.89499170999083,9.083625900444571e-05
106.91061644705813,7.815944166533462e-05
106.92624118412546,8.544242832831666e-05
106.94186592119276,6.587340193706769e-05
106.95749065826007,6.506162210033188e-05
106.97311539532738,7.77348575917938e-05
106.98874013239468,7.019446823513008e-05
107.00436486946201,5.531372363920283e-05
107.01998960652931,2.9691741361648463e-05
107.03561434359662,2.2606519728830373e-05
107.05123908066392,3.434223007847051e-05
107.06686381773125,2.6254843483845723e-05
107.08248855479856,3.460690352334101e-05
107.09811329186586,8.407973584584722e-05
107.11373802893317,8.285045702499956e-05
107.12936276600047,3.991184565729774e-05
107.1449875030678,2.4170474498195808e-05
107.1606122401351,1.5663929067984196e-05
107.17623697720241,4.266911298890071e-05
107.19186171426972,1.6861771186477128e-05
107.20748645133703,1.3875412104967491e-05
107.22311118840435,4.3258126396663316e-05
107.23873592547164,7.862197503063287e-05
107.25436066253896,0.00011334376768763625
107.26998539960626,0.0001080026472438527
107.28561013667358,0.00010503207937698107
107.3012348737409,9.180607879116899e-05
107.3168596108082,6.476022349874125e-05
107.3324843478755,2.616244671849382e-05
107.34810908494282,2.1379637573009104e-05
107.36373382201013,4.412676307142924e-05
107.37935855907743,4.2949106601083766e-05
107.39498329614474,2.7952424112968773e-05
107.41060803321207,6.897654147445373e-05
107.42623277027937,8.603047388505869e-05
107.44185750734668,5.49106130290817e-05
107.45748224441398,3.324962053662487e-05
107.4731069814813,3.614477738081842e-05
107.48873171854862,6.14910268048301e-05
107.50435645561592,6.566360136301946e-05
107.51998119268323,8.012662748046509e-05
107.53560592975053,0.00010980727574692879
107.55123066681786,0.00010790388427771384
107.56685540388516,0.00010140764845068398
107.58248014095247,9.739056294720463e-05
107.59810487801978,6.862299982994484e-05
107.6137296150871,1.829204821906517e-05
107.62935435215441,3.156857547522222e-05
107.6449790892217,0.0
107.66060382628902,0.0
107.67622856335632,0.0
107.69185330042365,0.0
107.70747803749096,0.0
107.72310277455826,0.0
107.73872751162557,0.0
107.75435224869288,0.0
